Type,State,Hospital rate 9/10 (from 0-10) (%),Def. yes to hospital rec. (%),Doctor A communicate well (%),A help received ASAP (%),Pain A well-controlled (%),A medicines explained (%),Rm./bathrm. A clean (%),Rm. A quiet at night (%),Not given info occupy recovery (%),Num. completed surveys
C,C,PQ,PQ,PQ,PQ,PQ,PQ,PQ,PQ,PQ,C
,,87.1666666667...100.0,87.1666666667...100.0,,,,,80.6666666667...98.0,,,
,,,87.1666666667...100.0,,,,,80.6666666667...98.0,76.0...100.0,,
,,87.1666666667...100.0,87.1666666667...100.0,,,,,,,,
,,87.1666666667...100.0,87.1666666667...100.0,,,,,,,,
,,23.0...48.6666666667,,,,,,46.0...63.3333333333,,24.0...48.0,
,,87.1666666667...100.0,87.1666666667...100.0,,,,,80.6666666667...98.0,76.0...100.0,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,87.1666666667...100.0,,,,69.0...93.0,,76.0...100.0,,
,,87.1666666667...100.0,87.1666666667...100.0,,,,,,76.0...100.0,,
,,87.1666666667...100.0,87.1666666667...100.0,,,,,,76.0...100.0,,
,,87.1666666667...100.0,,,,,69.0...93.0,80.6666666667...98.0,76.0...100.0,,
,,87.1666666667...100.0,,,,,,80.6666666667...98.0,76.0...100.0,,
,,87.1666666667...100.0,,,,,,80.6666666667...98.0,76.0...100.0,,
,,87.1666666667...100.0,87.1666666667...100.0,,,,69.0...93.0,80.6666666667...98.0,,,
,,87.1666666667...100.0,,,,,69.0...93.0,,76.0...100.0,,
,,87.1666666667...100.0,,,,,69.0...93.0,,76.0...100.0,,
,,87.1666666667...100.0,,,,,,,76.0...100.0,,
,,87.1666666667...100.0,,,,,,,76.0...100.0,,
,,87.1666666667...100.0,,,,,,,76.0...100.0,,
,,87.1666666667...100.0,,,,,,,76.0...100.0,,
,,87.1666666667...100.0,,,,,,,76.0...100.0,,
,,87.1666666667...100.0,,,,,,,76.0...100.0,,
,,87.1666666667...100.0,87.1666666667...100.0,,,,69.0...93.0,,,,
,,87.1666666667...100.0,87.1666666667...100.0,,,,69.0...93.0,,,,
,,,87.1666666667...100.0,,,,69.0...93.0,80.6666666667...98.0,76.0...100.0,,
,,87.1666666667...100.0,,,,,69.0...93.0,80.6666666667...98.0,,,
,,87.1666666667...100.0,,,,,69.0...93.0,80.6666666667...98.0,,,
,,23.0...48.6666666667,,,,,,,,24.0...48.0,
,,23.0...48.6666666667,,,,,,,,24.0...48.0,
,,23.0...48.6666666667,23.0...61.5,,,,,,,24.0...48.0,
,,23.0...48.6666666667,,,,,,,,24.0...48.0,
,,23.0...48.6666666667,23.0...61.5,,,,,46.0...63.3333333333,,,
,,87.1666666667...100.0,87.1666666667...100.0,,,,,80.6666666667...98.0,,,
,,87.1666666667...100.0,87.1666666667...100.0,,,,,80.6666666667...98.0,,,
,,23.0...48.6666666667,,,,,,46.0...63.3333333333,,,
,,23.0...48.6666666667,,,,,,46.0...63.3333333333,,,
,,23.0...48.6666666667,,,,,,46.0...63.3333333333,,,
,,,87.1666666667...100.0,,,,69.0...93.0,,76.0...100.0,,
,,87.1666666667...100.0,,,,,69.0...93.0,,,,
,,87.1666666667...100.0,,,,,69.0...93.0,,,,
,,,87.1666666667...100.0,,,,69.0...93.0,,76.0...100.0,,
,,87.1666666667...100.0,,,,,69.0...93.0,,,,
,,87.1666666667...100.0,,,,,69.0...93.0,,,,
,,87.1666666667...100.0,,,,,69.0...93.0,,,,
,,87.1666666667...100.0,,,,,69.0...93.0,,,,
,,,87.1666666667...100.0,,,,,80.6666666667...98.0,76.0...100.0,,
,,,87.1666666667...100.0,,,,,80.6666666667...98.0,76.0...100.0,,
,PR,,,,,,,,,,
,,,,,,,69.0...93.0,,76.0...100.0,,Between 100 and 299
,,,,,,,,80.6666666667...98.0,76.0...100.0,,Between 100 and 299
,,,87.1666666667...100.0,,84.3333333333...98.0,,,,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,80.6666666667...98.0,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,69.0...93.0,,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,,76.0...100.0,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,69.0...93.0,,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,,,,
,,,,92.0...100.0,,,,80.6666666667...98.0,,,
,,,,,84.3333333333...98.0,,69.0...93.0,,76.0...100.0,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,,76.0...100.0,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,80.6666666667...98.0,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,80.6666666667...98.0,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,80.6666666667...98.0,76.0...100.0,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,69.0...93.0,,76.0...100.0,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,69.0...93.0,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,,76.0...100.0,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,,76.0...100.0,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,69.0...93.0,80.6666666667...98.0,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,80.6666666667...98.0,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,80.6666666667...98.0,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,69.0...93.0,,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,69.0...93.0,,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,,,,
,,,,,84.3333333333...98.0,,69.0...93.0,80.6666666667...98.0,76.0...100.0,,
,,87.1666666667...100.0,87.1666666667...100.0,,84.3333333333...98.0,,,,,,
,,,,52.0...68.0,,,,,,24.0...48.0,
,,,,52.0...68.0,,,,46.0...63.3333333333,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,69.0...93.0,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,,,92.0...100.0,,,,,76.0...100.0,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,69.0...93.0,,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,76.0...100.0,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,69.0...93.0,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,,,92.0...100.0,,,,,76.0...100.0,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,80.6666666667...98.0,76.0...100.0,,
,,87.1666666667...100.0,87.1666666667...100.0,,84.3333333333...98.0,,,,76.0...100.0,,
,,87.1666666667...100.0,87.1666666667...100.0,,84.3333333333...98.0,,,80.6666666667...98.0,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,76.0...100.0,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,76.0...100.0,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,76.0...100.0,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,69.0...93.0,,76.0...100.0,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,76.0...100.0,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,69.0...93.0,,76.0...100.0,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,76.0...100.0,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,76.0...100.0,,
,,87.1666666667...100.0,87.1666666667...100.0,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,87.1666666667...100.0,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,87.1666666667...100.0,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,87.1666666667...100.0,,84.3333333333...98.0,,69.0...93.0,,,,
,,87.1666666667...100.0,87.1666666667...100.0,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,87.1666666667...100.0,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,87.1666666667...100.0,,84.3333333333...98.0,,69.0...93.0,,,,
,,87.1666666667...100.0,87.1666666667...100.0,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,80.6666666667...98.0,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,80.6666666667...98.0,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,80.6666666667...98.0,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,69.0...93.0,80.6666666667...98.0,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,80.6666666667...98.0,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,69.0...93.0,80.6666666667...98.0,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,80.6666666667...98.0,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,80.6666666667...98.0,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,69.0...93.0,,76.0...100.0,,
,PA,,23.0...61.5,,,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,,76.0...100.0,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,69.0...93.0,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,69.0...93.0,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,,76.0...100.0,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,69.0...93.0,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,,76.0...100.0,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,69.0...93.0,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,69.0...93.0,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,69.0...93.0,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,,,,,84.5...100.0,,,,,
,PA,48.6666666667...61.5,,,,,,,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,69.0...93.0,80.6666666667...98.0,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,80.6666666667...98.0,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,80.6666666667...98.0,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,80.6666666667...98.0,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,69.0...93.0,,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,69.0...93.0,,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,69.0...93.0,,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,69.0...93.0,,,,
,,87.1666666667...100.0,87.1666666667...100.0,,84.3333333333...98.0,,,80.6666666667...98.0,76.0...100.0,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,80.6666666667...98.0,76.0...100.0,,
,,87.1666666667...100.0,87.1666666667...100.0,,84.3333333333...98.0,,,,76.0...100.0,,
,,87.1666666667...100.0,87.1666666667...100.0,,84.3333333333...98.0,,,80.6666666667...98.0,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,69.0...93.0,80.6666666667...98.0,76.0...100.0,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,80.6666666667...98.0,76.0...100.0,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,80.6666666667...98.0,76.0...100.0,,
,,87.1666666667...100.0,87.1666666667...100.0,,84.3333333333...98.0,,,,76.0...100.0,,
,,87.1666666667...100.0,87.1666666667...100.0,,84.3333333333...98.0,,,80.6666666667...98.0,,,
,,87.1666666667...100.0,87.1666666667...100.0,,84.3333333333...98.0,,69.0...93.0,,76.0...100.0,,
,,87.1666666667...100.0,87.1666666667...100.0,,84.3333333333...98.0,,,,76.0...100.0,,
,,87.1666666667...100.0,87.1666666667...100.0,,84.3333333333...98.0,,69.0...93.0,80.6666666667...98.0,,,
,,87.1666666667...100.0,87.1666666667...100.0,,84.3333333333...98.0,,,80.6666666667...98.0,,,
,,,,92.0...100.0,,,,80.6666666667...98.0,76.0...100.0,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,76.0...100.0,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,76.0...100.0,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,76.0...100.0,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,69.0...93.0,,76.0...100.0,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,76.0...100.0,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,76.0...100.0,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,76.0...100.0,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,69.0...93.0,,76.0...100.0,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,76.0...100.0,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,76.0...100.0,,
,,,,92.0...100.0,,,69.0...93.0,,76.0...100.0,,
,,87.1666666667...100.0,87.1666666667...100.0,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,87.1666666667...100.0,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,87.1666666667...100.0,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,87.1666666667...100.0,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,87.1666666667...100.0,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,87.1666666667...100.0,,84.3333333333...98.0,,69.0...93.0,,,,
,,87.1666666667...100.0,87.1666666667...100.0,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,87.1666666667...100.0,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,87.1666666667...100.0,,84.3333333333...98.0,,69.0...93.0,,,,
,,87.1666666667...100.0,87.1666666667...100.0,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,80.6666666667...98.0,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,80.6666666667...98.0,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,69.0...93.0,80.6666666667...98.0,76.0...100.0,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,80.6666666667...98.0,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,69.0...93.0,80.6666666667...98.0,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,80.6666666667...98.0,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,80.6666666667...98.0,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,80.6666666667...98.0,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,69.0...93.0,80.6666666667...98.0,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,80.6666666667...98.0,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,80.6666666667...98.0,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,80.6666666667...98.0,76.0...100.0,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,80.6666666667...98.0,76.0...100.0,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,80.6666666667...98.0,76.0...100.0,,
,,,,92.0...100.0,,,69.0...93.0,80.6666666667...98.0,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,69.0...93.0,,76.0...100.0,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,69.0...93.0,,76.0...100.0,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,,76.0...100.0,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,,76.0...100.0,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,,76.0...100.0,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,,76.0...100.0,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,69.0...93.0,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,69.0...93.0,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,,76.0...100.0,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,,76.0...100.0,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,,76.0...100.0,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,69.0...93.0,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,,76.0...100.0,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,69.0...93.0,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,69.0...93.0,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,69.0...93.0,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,87.1666666667...100.0,,,84.3333333333...98.0,,,,,,
,,,,92.0...100.0,,,,,76.0...100.0,,
,,,,92.0...100.0,,,,,76.0...100.0,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,69.0...93.0,80.6666666667...98.0,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,69.0...93.0,80.6666666667...98.0,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,80.6666666667...98.0,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,80.6666666667...98.0,,,
,,,87.1666666667...100.0,,84.3333333333...98.0,,,80.6666666667...98.0,,,
